,whole_name,sex,ioc,id,hand,best_rank,best_rank_points,best_of_3_match,best_of_5_match,best_of_3_wins,best_of_5_wins,m_16,w_16,m_17,w_17,m_18,w_18,m_19,w_19,m_20,w_20,m_21,w_21,w_tourney,tot_minutes,height,birthdate,sv1st,sv1st_win,sv2nd_win,df,ace,bpS,wmatch,lmatch,nmatch,w_surface_Hard,w_surface_Clay,w_surface_Grass,w_surface_Carpet,w_surface_unknown,l_surface_Hard,l_surface_Clay,l_surface_Grass,l_surface_Carpet,l_surface_unknown,n_tourney
12,John Millman,M,AUS,105357.0,R,33,1521,249,39,139,18,60,33,44,27,57,34,63,31,31,18,33,14,5,31232.460546434828,183.0,16/06/1989,13804,9569,4560,518,1195.0,1155.0,157,131,288,118,23,16,0,0,85,27,19,0,0,138
13,Denis Kudla,M,USA,106045.0,R,53,858,312,24,174,9,60,28,63,35,79,50,54,20,28,19,52,31,2,32858.55394044079,180.0,19/08/1992,14189,10137,5076,1042,1912.0,1271.0,183,153,336,119,26,38,0,0,97,30,26,0,0,153
14,Destanee Aiava,F,AUS,215018.0,R,147,722,193,0,110,0,21,12,46,32,42,25,51,25,19,13,14,3,4,17387.468062833428,170.86,13/05/2000,2166,1390,642,197,135.0,265.0,110,83,193,74,29,7,0,0,56,18,9,0,0,87
15,Harriet Dart,F,GBR,211279.0,R,126,576,251,0,140,0,45,26,46,22,59,38,43,25,24,13,34,16,2,22563.663581912537,177.71,30/07/1996,3659,2297,1329,328,166.0,465.0,140,111,251,102,14,18,6,0,71,16,22,2,0,108
16,Anastasija Sevastova,F,LAT,201545.0,R,11,3366,298,0,173,0,63,36,61,37,72,48,51,29,12,2,39,21,3,26946.737559170666,173.0,16/04/1990,11754,7517,3800,671,689.0,1243.0,173,125,298,87,62,24,0,0,78,34,13,0,0,132
17,Petra Kvitova,F,CZE,201520.0,L,2,6290,281,0,192,0,69,46,28,18,65,47,53,37,27,20,39,24,11,27042.531730408067,183.0,12/03/1990,11626,8060,3588,1284,1231.0,1041.0,192,89,281,127,44,21,0,0,64,16,9,0,0,97
18,Anett Kontaveit,F,EST,204426.0,R,15,2965,287,0,178,0,44,21,66,46,59,34,45,28,35,24,38,25,3,26616.342404341245,174.0,23/12/1995,12245,8108,3452,923,947.0,1184.0,178,109,287,115,44,19,0,0,72,24,13,0,0,123
19,Lesia Tsurenko,F,UKR,201615.0,R,23,1950,220,0,120,0,50,29,49,23,50,30,29,14,18,11,24,13,3,20355.4436065352,174.0,01/06/1989,9277,5542,2069,887,284.0,922.0,120,100,220,89,17,14,0,0,62,25,13,0,0,107
20,Kimberly Birrell,F,AUS,214040.0,U,154,1136,99,0,39,0,8,2,30,14,32,13,23,8,-1,-1,6,2,2,9099.177352598792,170.86,02/05/1998,1300,807,311,119,65.0,140.0,39,60,99,34,3,1,1,0,39,12,6,3,0,62
21,Karolina Pliskova,F,CZE,201662.0,R,1,6940,349,0,244,0,68,45,72,54,72,49,69,52,22,14,46,30,12,32923.62907102346,184.0,25/03/1992,15022,10751,4268,1170,2356.0,1388.0,244,105,349,160,48,36,0,0,70,23,12,0,0,115
22,Marie Bouzkova,F,CZE,213631.0,R,46,1580,317,0,195,0,52,37,64,40,70,44,71,44,27,15,31,14,8,28814.387224913815,175.79,23/07/1998,6596,4008,1665,333,238.0,653.0,195,122,317,156,27,12,0,0,84,27,11,0,0,126
23,Ajla Tomljanovic,F,AUS,201548.0,R,39,1490,231,0,124,0,2,-1,50,29,62,37,60,31,17,5,40,22,0,22137.092956802102,170.86,10/05/1993,8363,5406,2509,878,614.0,854.0,124,107,231,80,28,16,0,0,69,28,10,0,0,106
24,Johanna Konta,F,GBR,202427.0,R,6,4750,275,0,175,0,69,46,59,40,55,31,56,40,17,8,19,10,4,27035.58983606022,180.0,19/05/1991,11626,7918,3423,646,1170.0,1063.0,175,100,275,113,25,37,0,0,63,22,15,0,0,116
25,Kiki Bertens,F,NED,202428.0,R,4,5430,313,0,201,0,71,49,59,32,69,46,83,57,21,15,10,2,9,29586.70218578598,182.0,09/12/1991,12318,8566,4036,1249,1462.0,1193.0,201,112,313,98,87,16,0,0,73,27,12,0,0,124
26,Donna Vekic,F,CRO,202499.0,R,20,2420,288,0,158,0,61,30,66,38,59,34,61,37,19,8,22,11,2,27665.330734574694,180.0,30/06/1996,9948,6689,3569,1276,866.0,1037.0,158,130,288,111,24,23,0,0,89,23,18,0,0,132
27,Aliaksandra Sasnovich,F,BLR,205925.0,R,30,1570,280,0,150,0,49,21,61,34,59,35,44,21,32,20,35,19,0,27909.964104380568,177.25,26/03/1994,12157,7556,3135,1263,651.0,1226.0,150,130,280,111,32,7,0,0,82,36,12,0,0,131
28,Naomi Osaka,F,JPN,211768.0,R,1,7835,270,0,180,0,56,34,51,29,65,43,53,40,20,16,25,18,7,23399.828451681118,180.0,17/10/1997,9788,6909,3488,597,1387.0,887.0,180,90,270,142,26,12,0,0,59,21,10,0,0,99
29,Marc Polmans,M,AUS,117360.0,R,116,966,234,10,110,4,16,8,46,15,59,33,64,35,27,11,32,12,3,25773.162647189914,187.08,05/05/1997,11494,7678,3145,820,750.0,1005.0,114,130,244,71,32,11,0,0,80,37,13,0,0,129
30,Thanasi Kokkinakis,M,AUS,106423.0,R,144,993,111,10,70,2,1,-1,13,6,42,25,29,20,-1,-1,36,21,3,12912.966120200732,187.08,13/04/1996,5026,3869,1693,343,1016.0,380.0,72,49,121,53,14,5,0,0,30,10,9,0,0,52
31,Cristian Garin,M,CHI,106426.0,R,18,2610,260,28,153,15,43,21,45,22,76,54,61,34,30,18,33,19,9,30172.442598625108,185.0,01/06/1996,12709,8866,4291,911,1192.0,1251.0,168,120,288,42,115,11,0,0,45,69,6,0,0,128
32,Taro Daniel,M,JPN,106121.0,R,64,834,317,23,177,6,62,33,73,42,62,33,66,31,34,19,43,25,5,35920.99034605362,176.29,31/01/1993,15292,10346,4641,938,980.0,1424.0,183,157,340,84,97,2,0,0,79,74,4,0,0,158
33,Ugo Humbert,M,FRA,200005.0,L,25,2270,202,17,126,6,2,-1,10,4,60,41,71,43,39,25,37,19,9,23676.724480849585,188.0,28/06/1998,10080,7585,3479,647,1585.0,842.0,132,87,219,109,7,16,0,0,60,18,9,0,0,96
34,Christopher Eubanks,M,USA,111153.0,R,149,1809,186,4,99,0,9,5,13,5,59,32,56,27,22,14,31,16,2,16759.447468113747,186.77,08/05/1996,9101,6850,2456,832,1905.0,625.0,99,91,190,90,4,5,0,0,74,7,10,0,0,92
35,Marta Kostyuk,F,UKR,216146.0,R,56,1241,181,0,120,0,4,2,12,8,40,25,52,36,40,28,33,21,3,15811.878445443795,173.75,30/06/2002,4120,2635,1165,471,272.0,439.0,120,61,181,58,53,9,0,0,28,24,9,0,0,67
36,Viktorija Golubic,F,SUI,203530.0,R,45,1531,305,0,182,0,66,44,45,19,58,33,54,32,18,7,62,45,6,30978.42426208302,171.33,17/10/1992,11176,6672,2584,811,148.0,1112.0,182,123,305,120,36,23,3,0,73,31,18,1,0,127
37,Magdalena Frech,F,POL,211684.0,R,115,661,320,0,194,0,54,31,67,45,58,29,58,34,41,27,40,27,5,29726.0504913501,173.5,15/12/1997,5685,3568,1735,345,312.0,602.0,194,126,320,91,76,12,15,0,61,48,10,7,0,131
38,Kateryna Kozlova,F,UKR,203462.0,R,62,922,259,0,140,0,55,32,67,40,46,22,54,28,11,4,26,14,2,24406.99961126763,173.75,24/02/1994,9556,5660,2060,509,340.0,880.0,140,119,259,73,56,8,3,0,74,33,11,1,0,121
39,Lucie Hradecka,F,CZE,201556.0,R,53,1009,134,0,63,0,41,18,34,18,10,2,38,21,5,2,6,2,1,11913.302209939397,177.0,24/05/1985,2682,1875,1057,386,359.0,322.0,63,71,134,34,29,0,0,0,39,31,1,0,0,71
40,Andrea Petkovic,F,GER,201492.0,R,21,2230,239,0,122,0,42,20,55,28,53,29,53,26,1,-1,35,19,1,23349.87984208625,180.0,09/09/1987,10610,6412,2433,825,359.0,1025.0,122,117,239,74,35,13,0,0,67,35,15,0,0,116
41,Anastasia Potapova,F,RUS,215713.0,R,64,1071,181,0,104,0,3,2,36,21,40,27,52,27,17,11,33,16,1,17132.466957980374,176.2,02/04/2001,4755,3054,1910,659,299.0,619.0,104,77,181,67,31,6,0,0,50,21,5,1,0,79
42,Zoe Hives,F,AUS,211941.0,U,149,777,118,0,68,0,3,1,33,19,37,27,45,21,-1,-1,-1,-1,3,10383.967140022889,170.86,25/10/1996,822,505,264,65,49.0,98.0,68,50,118,48,20,0,0,0,30,18,2,0,0,53
43,Karolina Muchova,F,CZE,214096.0,R,19,2876,216,0,140,0,54,36,35,20,33,22,51,37,15,7,28,18,2,20026.186132137467,178.0,23/08/1996,4957,3299,1349,211,421.0,446.0,140,76,216,77,47,12,4,0,39,28,8,1,0,78
44,Dayana Yastremska,F,UKR,215035.0,R,21,2070,211,0,128,0,21,11,34,19,61,42,58,36,29,17,8,3,6,19779.520194143886,175.0,18/05/2000,6125,3976,1988,766,543.0,593.0,128,83,211,71,45,12,0,0,47,26,10,0,0,93
45,Mandy Minella,F,LUX,201605.0,R,67,849,239,0,129,0,59,33,35,16,66,44,56,27,6,2,17,7,7,20995.618105465528,180.0,22/11/1985,6363,3902,1705,274,360.0,615.0,129,110,239,58,61,8,2,0,53,45,11,1,0,122
46,Viktoriya Tomova,F,BUL,202600.0,R,104,775,326,0,185,0,78,59,65,36,52,24,64,32,27,17,40,17,8,29070.964553359183,180.0,28/02/1995,6434,3657,1371,412,144.0,636.0,185,141,326,84,91,8,2,0,69,62,9,1,0,148
47,Christina Mchale,F,USA,201539.0,R,40,1300,290,0,146,0,62,38,65,33,47,17,64,38,24,13,28,7,3,30451.741821393673,170.0,14/05/1992,12050,7541,3222,1023,593.0,1290.0,146,144,290,107,25,14,0,0,93,33,18,0,0,142
48,Roberto Bautista Agut,M,ESP,105138.0,R,9,3215,265,71,172,48,74,51,70,48,53,33,65,42,28,20,46,26,8,38173.57675773914,183.0,17/04/1988,17156,12077,4992,653,1111.0,1278.0,220,116,336,148,49,23,0,0,71,35,10,0,0,127
49,Tomas Berdych,M,CZE,104607.0,R,6,4620,116,42,69,30,60,40,53,35,23,11,22,13,-1,-1,-1,-1,1,17210.60484517058,196.0,18/09/1985,7340,5694,2697,403,1243.0,561.0,99,59,158,68,17,14,0,0,38,13,8,0,0,60
50,Novak Djokovic,M,SRB,104925.0,R,1,16950,213,126,174,115,75,66,41,33,65,53,69,58,46,41,43,38,27,39701.361275030155,188.0,24/05/1987,16842,12561,4931,830,1759.0,1072.0,289,50,339,169,85,35,0,0,29,18,3,0,0,81
51,Marco Cecchinato,M,ITA,106065.0,R,16,2091,310,25,175,9,49,24,78,48,72,42,47,19,42,25,47,26,6,33352.626132324105,185.0,01/10/1992,16444,11299,4285,717,1326.0,1250.0,184,151,335,16,166,2,0,0,44,100,7,0,0,156
52,Nikoloz Basilashvili,M,GEO,105932.0,R,16,2020,277,40,144,19,66,35,66,32,68,38,52,28,18,4,47,26,7,31847.28429868909,185.0,27/02/1992,14610,9843,4924,1359,1139.0,1410.0,163,154,317,88,60,13,0,2,87,48,18,1,0,160
53,Stan Wawrinka,M,SUI,104527.0,R,3,6865,161,65,99,48,64,46,37,26,34,17,53,33,31,22,7,3,6,26216.0,183.0,31/03/1985,11446,8554,4430,500,1800.0,952.0,147,79,226,100,42,5,0,0,51,19,9,0,0,84
54,Dusan Lajovic,M,SRB,105583.0,R,23,1895,269,45,136,20,59,28,70,37,70,41,50,22,30,14,35,14,3,32445.462392193214,180.0,02/07/1990,16440,11193,4224,501,1086.0,1266.0,156,158,314,73,79,4,0,0,78,69,11,0,0,161
55,Pierre Hugues Herbert,M,FRA,105732.0,R,36,1168,239,36,137,15,49,32,52,25,65,39,50,25,31,18,28,13,2,29092.127188774335,188.0,21/03/1991,13002,9741,4671,1074,2300.0,1034.0,152,123,275,100,39,13,0,0,79,30,14,0,0,123
56,Marton Fucsovics,M,HUN,105916.0,R,31,1644,292,46,171,26,71,43,76,49,64,35,54,25,33,21,40,24,3,36743.595191224194,188.0,12/02/1992,14395,10185,5612,1047,1416.0,1375.0,197,141,338,118,61,16,0,2,83,46,12,0,0,147
57,Andrey Rublev,M,RUS,126094.0,R,7,6120,332,48,210,32,70,38,76,45,45,21,81,54,51,41,57,43,10,38643.16808738479,188.0,21/10/1997,16566,12337,5777,1091,2240.0,1407.0,242,138,380,174,52,16,0,0,89,40,9,0,0,146
58,Nicolas Jarry,M,CHI,111797.0,R,38,1165,270,17,161,4,61,35,71,46,55,31,52,23,6,1,42,29,5,28941.976259822455,185.0,11/10/1995,13347,9849,4155,730,2197.0,959.0,165,122,287,44,114,7,0,0,47,67,8,0,0,127
59,Guillermo Garcia Lopez,M,ESP,104198.0,R,27,1430,238,20,119,8,53,22,68,41,57,26,64,35,12,3,4,-1,2,27164.49249544482,188.0,05/06/1983,11294,7916,4103,949,884.0,1048.0,127,131,258,44,78,5,0,0,60,63,8,0,0,130
60,Ricardas Berankis,M,LTU,105575.0,R,50,909,247,32,150,12,59,34,42,23,62,35,66,44,18,10,32,16,8,26848.333187598717,175.0,23/06/1990,12061,8485,4263,769,962.0,1051.0,162,117,279,133,20,9,0,0,88,18,11,0,0,125
61,Guido Pella,M,ARG,105550.0,L,20,1735,219,46,118,21,40,16,67,42,59,33,62,36,17,7,20,5,4,30543.771438969932,185.0,20/05/1990,13959,9609,3805,589,1296.0,1204.0,139,126,265,45,86,8,0,0,57,56,13,0,0,133
62,Fernando Verdasco,M,ESP,104269.0,L,26,1545,209,41,104,22,55,29,54,29,61,33,53,26,14,6,13,3,1,27769.81646630101,188.0,14/11/1983,12955,9204,3460,936,1516.0,1087.0,126,124,250,68,49,9,0,0,65,44,15,0,0,125
63,Maximilian Marterer,M,GER,109739.0,L,45,1022,269,14,154,6,50,30,82,55,51,24,27,12,34,20,39,19,7,26104.614061913104,187.44,16/06/1995,12202,8767,3772,473,1567.0,957.0,160,123,283,79,78,3,0,0,57,59,7,0,0,130
64,Paolo Lorenzi,M,ITA,103893.0,R,33,1223,297,32,148,14,76,47,66,30,59,30,82,42,23,8,23,5,6,39504.222768662235,183.0,15/12/1981,15189,10585,5547,909,1344.0,1468.0,162,167,329,49,111,2,0,0,67,89,11,0,0,170
65,Marcos Baghdatis,M,CYP,104571.0,R,35,1210,133,23,71,10,49,26,39,19,41,19,27,17,-1,-1,-1,-1,1,15557.196612020074,183.0,19/06/1985,6158,4615,2639,499,1129.0,553.0,81,75,156,66,3,12,0,0,51,11,13,0,0,76
66,Sergiy Stakhovsky,M,UKR,104660.0,R,60,780,324,18,170,8,65,36,75,43,69,33,76,38,23,10,34,18,3,34004.97046745462,193.0,13/01/1986,14950,11140,4804,893,2507.0,1153.0,178,164,342,117,29,32,0,0,115,30,19,0,0,164
67,Mirza Basic,M,BIH,105806.0,R,75,733,269,12,143,4,57,30,61,35,62,30,43,16,14,8,44,28,2,25738.402270720893,182.5,13/07/1991,11425,8221,4076,544,1360.0,970.0,147,134,281,116,26,3,2,0,90,32,12,0,0,136
68,Marco Trungelliti,M,ARG,105477.0,R,112,517,260,12,146,5,61,36,45,23,69,44,41,21,22,7,34,20,2,27804.491973210075,184.5,04/02/1990,11122,7465,3945,824,872.0,1128.0,151,121,272,45,102,4,0,0,50,65,6,0,0,122
69,Kevin Anderson,M,RSA,104731.0,R,5,4810,171,52,103,33,40,19,55,34,67,48,15,11,20,10,26,14,4,26449.969981779286,203.0,21/05/1986,11765,9286,3576,677,3276.0,709.0,136,87,223,87,24,25,0,0,55,19,13,0,0,90
70,Ivo Karlovic,M,CRO,103333.0,R,18,1875,170,35,85,16,56,32,35,15,49,26,44,22,11,3,10,3,3,22352.35012749835,190.5,03/03/1979,11492,9475,3455,966,4222.0,559.0,101,104,205,67,14,20,0,0,66,20,18,0,0,106
71,Gilles Simon,M,FRA,104468.0,R,15,2235,223,47,106,25,59,33,41,16,62,35,56,28,31,15,21,4,2,31172.88571948497,183.0,27/12/1984,12710,8677,4325,705,959.0,1206.0,131,139,270,84,32,15,0,0,79,42,18,0,0,143
72,Steve Darcis,M,BEL,104327.0,R,38,1016,145,24,95,11,55,42,56,33,-1,-1,54,29,4,2,-1,-1,4,16896.894936227494,178.0,17/03/1984,7263,5095,2399,286,619.0,617.0,106,63,169,62,39,5,0,0,37,20,6,0,0,70
73,Jaume Munar,M,ESP,144719.0,R,53,1022,267,16,152,4,12,5,41,21,71,39,69,37,41,24,49,30,6,31364.854693354173,183.0,08/05/1997,13680,9330,3615,683,893.0,1177.0,156,127,283,35,121,0,0,0,42,77,8,0,0,129
74,Benoit Paire,M,FRA,105332.0,R,18,1773,281,44,135,23,59,26,68,35,62,32,75,42,23,10,38,13,2,32305.758360648855,196.0,11/05/1989,13911,10443,5775,1828,2870.0,1536.0,158,167,325,89,55,14,0,0,101,53,13,0,0,169
75,Malek Jaziri,M,TUN,104291.0,R,42,1042,279,25,132,9,69,38,60,28,72,40,41,12,29,12,33,11,5,31114.61792349166,185.0,26/01/1984,12352,8724,5292,916,1157.0,1351.0,141,163,304,101,36,3,1,0,100,51,11,1,0,168
76,Ernests Gulbis,M,LAT,105208.0,R,59,836,185,26,83,13,31,14,27,11,54,32,38,8,33,20,28,11,1,21531.24699451512,190.0,31/08/1988,8352,6322,3206,1025,1606.0,806.0,96,115,211,52,32,12,0,0,59,46,10,0,0,116
77,Laslo Djere,M,SRB,111513.0,R,27,1342,279,25,160,8,59,32,72,44,58,32,45,22,30,18,40,20,4,33380.9491803011,188.0,03/06/1995,13302,9171,4442,1101,1175.0,1218.0,168,136,304,19,147,2,0,0,56,73,7,0,0,139
78,Simone Bolelli,M,ITA,104620.0,R,58,790,119,13,70,5,10,2,45,28,54,32,23,13,-1,-1,-1,-1,0,13606.496842698714,183.0,09/10/1985,6196,4212,1370,118,262.0,439.0,75,57,132,22,46,7,0,0,24,28,5,0,0,55
79,Ilya Ivashka,M,BLR,125802.0,R,63,1038,308,20,187,11,54,35,48,25,75,45,59,30,41,28,51,35,5,33087.408633794956,193.0,28/02/1994,14100,10206,4246,964,1913.0,1136.0,198,130,328,150,33,15,0,0,88,28,12,0,2,132
80,Jiri Vesely,M,CZE,106210.0,L,42,1057,257,45,145,20,57,30,57,30,51,27,74,45,33,21,30,12,3,33576.86877958533,198.0,12/07/1993,15180,11199,4235,1127,2561.0,1149.0,165,137,302,67,77,21,0,0,65,59,13,0,0,140
81,Michael Mmoh,M,USA,111581.0,R,102,570,240,13,139,3,42,25,58,31,72,45,40,20,23,13,18,8,5,24823.1205585582,186.77,17/01/1998,11366,7858,2848,851,993.0,875.0,142,111,253,123,12,7,0,0,87,14,10,0,0,116
82,Ramkumar Ramanathan,M,IND,106368.0,R,111,495,312,9,147,5,45,17,69,37,68,31,68,32,26,8,45,27,0,30233.580182113838,183.8,08/11/1994,13343,9801,4629,1169,2476.0,1031.0,152,169,321,96,28,26,0,2,115,35,19,0,0,169
83,Evgeny Donskoy,M,RUS,105539.0,R,67,752,304,20,156,4,65,33,73,41,63,29,67,37,26,10,30,10,5,30700.108403116312,185.0,12/05/1990,13787,10018,4919,728,1598.0,1187.0,160,164,324,132,15,13,0,0,113,34,17,0,0,164
84,Egor Gerasimov,M,BLR,106078.0,R,68,950,253,17,143,10,38,20,43,31,47,27,74,44,33,18,35,13,5,25956.962258622178,196.0,11/11/1992,12438,9133,3602,825,2075.0,898.0,153,117,270,136,12,3,0,2,83,24,10,0,0,126
85,Saketh Myneni,M,IND,105031.0,R,137,907,126,3,72,1,49,30,12,6,31,21,33,14,4,2,-1,-1,0,11019.065306574515,183.8,19/10/1987,5223,3730,1647,304,889.0,466.0,73,56,129,65,5,3,0,0,47,5,4,0,0,58
86,Antoine Hoang,M,FRA,126156.0,R,98,575,210,9,114,5,10,7,5,2,64,37,64,35,35,19,41,19,1,23449.63100181274,186.96,03/11/1995,11155,7630,2655,764,771.0,834.0,119,100,219,75,32,12,0,0,60,33,7,0,0,101
87,Thiago Monteiro,M,BRA,106329.0,L,74,954,351,24,200,8,79,51,66,30,73,37,79,49,45,27,33,14,5,40776.62714023419,183.0,02/06/1994,18154,12926,5202,823,1666.0,1439.0,208,167,375,40,164,4,0,0,51,110,6,0,0,168
88,Sebastian Ofner,M,AUT,124116.0,R,127,486,257,5,127,3,12,7,56,31,56,25,64,31,32,15,42,21,2,23668.080315684874,185.2,15/05/1996,10397,7557,3897,875,1689.0,894.0,130,132,262,65,50,15,0,0,63,59,10,0,0,133
89,Gianluigi Quinzi,M,ITA,106420.0,L,142,445,160,0,85,0,34,17,36,21,51,31,39,16,-1,-1,-1,-1,2,15824.237777772592,185.71,05/02/1996,6591,4523,2315,333,514.0,614.0,85,75,160,18,67,0,0,0,20,53,2,0,0,76
90,Felix Auger Aliassime,M,CAN,200000.0,R,15,2738,252,21,150,12,6,1,46,30,69,41,64,39,42,23,46,28,4,29215.48863386627,193.0,10/08/2000,12624,9279,3607,1090,1971.0,1048.0,162,111,273,90,53,19,0,0,68,37,6,0,0,112
91,Tennys Sandgren,M,USA,105815.0,R,41,1091,239,32,125,16,33,17,85,54,48,20,54,30,25,12,26,8,3,28228.118627768927,188.0,23/07/1991,12358,9053,3966,639,2022.0,1003.0,141,130,271,88,42,11,0,0,84,36,10,0,0,130
92,Cameron Norrie,M,GBR,111815.0,L,28,1975,263,31,162,14,30,20,54,38,63,32,59,31,29,14,59,41,4,29506.32204006691,188.0,24/08/1995,14008,9744,3826,976,1324.0,1215.0,176,118,294,133,31,12,0,0,80,24,14,0,0,119
93,Jan Lennard Struff,M,GER,105526.0,R,29,1545,302,44,168,21,81,51,74,41,54,27,65,35,30,15,42,20,2,34544.48477228772,193.0,28/04/1990,14537,11208,6048,1230,3078.0,1216.0,189,157,346,104,74,11,0,0,94,48,15,0,0,162
94,Philipp Kohlschreiber,M,GER,104259.0,R,22,1655,209,40,120,16,55,32,53,32,48,24,55,29,21,11,17,8,3,25960.06925318396,178.0,16/10/1983,11294,8172,3969,464,1219.0,918.0,136,113,249,67,55,14,0,0,54,45,14,0,0,119
95,Taylor Fritz,M,USA,126203.0,R,24,1900,298,40,174,20,64,35,65,39,73,45,69,40,31,15,36,20,4,33833.37527623043,193.0,29/10/1997,15438,11648,5533,850,2955.0,1215.0,194,144,338,148,26,20,0,0,101,25,18,0,0,148
96,Pablo Carreno Busta,M,ESP,105807.0,R,10,3325,249,68,152,44,67,41,63,37,53,31,57,35,32,20,45,32,6,34238.00820883245,188.0,13/07/1991,16253,11280,4339,543,1256.0,1309.0,196,121,317,110,82,4,0,0,67,47,7,0,0,127
97,Leonardo Mayer,M,ARG,104919.0,R,35,1235,210,25,107,11,54,30,51,31,47,22,48,23,17,5,18,7,2,26473.342404341245,188.0,17/05/1987,10932,8050,3656,876,1392.0,817.0,118,117,235,36,79,3,0,0,38,72,7,0,0,118
98,Fabio Fognini,M,ITA,104926.0,R,9,2920,226,61,128,38,49,26,59,36,70,47,54,31,15,5,40,21,6,31646.89879780605,178.0,26/05/1987,13774,9444,4714,1166,1032.0,1259.0,166,121,287,84,72,10,0,0,63,52,6,0,0,128
99,Joao Sousa,M,POR,105311.0,R,28,1355,241,45,106,21,60,26,61,29,59,31,62,29,17,4,27,8,1,30844.13657557864,185.0,03/04/1989,13774,9725,4291,621,1201.0,1147.0,127,159,286,64,50,12,0,1,81,60,18,0,0,159
100,David Ferrer,M,ESP,103970.0,R,6,4325,121,30,66,17,59,36,46,25,32,14,14,8,-1,-1,-1,-1,2,16475.0,175.0,06/04/1982,7141,4908,2325,554,375.0,649.0,83,68,151,45,33,5,0,0,36,24,8,0,0,71
101,Jose Rubin Statham,M,NZL,104907.0,R,292,545,115,3,55,0,20,9,36,14,53,28,8,3,-1,1,-1,-1,0,11709.6029143813,183.0,27/04/1987,5109,3551,1569,324,554.0,390.0,55,63,118,36,19,0,0,0,46,15,0,0,2,60
