,whole_name,sex,ioc,id,hand,best_rank,best_rank_points,best_of_3_match,best_of_5_match,best_of_3_wins(%),best_of_5_wins(%),num_win_bye,num_win_wo_ret,num_win_def,num_wo_ret,num_def,m_16,w_16,m_17,w_17,m_18,w_18,m_19,w_19,m_20,w_20,m_21,w_21,tot_minutes,height,birthdate,sv1st_win%,df%,ace_perc,bpS_perc
13,Denis Kudla,M,USA,106045.0,R,53,858,312,24,55,37,0,2,0,2,0,60,28,63,35,79,50,54,20,28,19,52,31,32858.55394044079,180.0,19/08/1992,68.04063509962445,4.09026853672802,7.88,62.83
14,Destanee Aiava,F,AUS,215018.0,R,147,722,193,0,56,0,0,1,0,0,0,21,12,46,32,42,25,51,25,19,13,14,3,17387.468062833428,170.86,13/05/2000,16.292777211641045,1.4049310124003027,3.79,60.92
15,Harriet Dart,F,GBR,211279.0,R,126,576,251,0,55,0,0,5,0,5,0,45,26,46,22,59,38,43,25,24,13,34,16,22563.663581912537,177.71,30/07/1996,22.509579065536162,1.783043689402487,2.52,55.09
16,Anastasija Sevastova,F,LAT,201545.0,R,11,3366,298,0,58,0,0,5,0,4,0,63,36,61,37,72,48,51,29,12,2,39,21,26946.737559170666,173.0,16/04/1990,61.37742056680976,3.2506176658008785,3.48,56.76
17,Petra Kvitova,F,CZE,201520.0,L,2,6290,281,0,68,0,0,4,0,8,0,69,46,28,18,65,47,53,37,27,20,39,24,27042.531730408067,183.0,12/03/1990,68.09378659808394,6.6604331920307995,6.5,59.35
18,Anett Kontaveit,F,EST,204426.0,R,15,2965,287,0,62,0,0,10,0,3,0,44,21,66,46,59,34,45,28,35,24,38,25,26616.342404341245,174.0,23/12/1995,62.984792199902394,4.459445396973271,4.81,58.7
19,Lesia Tsurenko,F,UKR,201615.0,R,23,1950,220,0,54,0,0,5,0,15,0,50,29,49,23,50,30,29,14,18,11,24,13,20355.4436065352,174.0,01/06/1989,56.752182817721256,6.0314222317658,2.03,54.59
20,Kimberly Birrell,F,AUS,214040.0,U,154,1136,99,0,39,0,0,2,0,1,0,8,2,30,14,32,13,23,8,-1,-1,6,2,9099.177352598792,170.86,02/05/1998,18.184149184149184,1.6888849737686946,3.15,58.09
21,Karolina Pliskova,F,CZE,201662.0,R,1,6940,349,0,69,0,0,7,0,1,0,68,45,72,54,72,49,69,52,22,14,46,30,32923.62907102346,184.0,25/03/1992,70.13289772898507,4.698135351948034,9.65,61.39
22,Marie Bouzkova,F,CZE,213631.0,R,46,1580,317,0,61,0,0,4,0,13,0,52,37,64,40,70,44,71,44,27,15,31,14,28814.387224913815,175.79,23/07/1998,27.8641195508889,1.5266681781156837,2.35,55.43
23,Ajla Tomljanovic,F,AUS,201548.0,R,39,1490,231,0,53,0,0,4,0,7,0,2,-1,50,29,62,37,60,31,17,5,40,22,22137.092956802102,170.86,10/05/1993,55.127486408127325,5.276748152012423,4.33,53.58
24,Johanna Konta,F,GBR,202427.0,R,6,4750,275,0,63,0,0,2,0,8,0,69,46,59,40,55,31,56,40,17,8,19,10,27035.58983606022,180.0,19/05/1991,67.61065323804011,3.4885590936289956,6.36,62.49
25,Kiki Bertens,F,NED,202428.0,R,4,5430,313,0,64,0,0,9,0,7,0,71,49,59,32,69,46,83,57,21,15,10,2,29586.70218578598,182.0,09/12/1991,69.0961615174448,5.874925058365241,6.92,57.49
26,Donna Vekic,F,CRO,202499.0,R,20,2420,288,0,54,0,0,6,0,2,0,61,30,66,38,59,34,61,37,19,8,22,11,27665.330734574694,180.0,30/06/1996,59.76857436447304,6.354542115649181,4.85,55.81
27,Aliaksandra Sasnovich,F,BLR,205925.0,R,30,1570,280,0,53,0,0,4,0,1,0,49,21,61,34,59,35,44,21,32,20,35,19,27909.964104380568,177.25,26/03/1994,59.933724250578734,6.29792562386419,3.37,52.84
28,Naomi Osaka,F,JPN,211768.0,R,1,7835,270,0,66,0,0,4,0,12,0,56,34,51,29,65,43,53,40,20,16,25,18,23399.828451681118,180.0,17/10/1997,67.71068882531898,3.3603906688051737,8.14,59.13
29,Marc Polmans,M,AUS,117360.0,R,116,966,234,10,47,40,0,3,0,0,0,16,8,46,15,59,33,64,35,27,11,32,12,25773.162647189914,187.42,05/05/1997,64.33613260803213,4.420183009798263,4.2,59.47
30,Thanasi Kokkinakis,M,AUS,106423.0,R,144,993,111,10,63,20,0,2,0,7,0,1,-1,13,6,42,25,29,20,-1,-1,36,21,12912.966120200732,187.42,13/04/1996,70.61774639642454,3.7570494634266685,12.13,69.85
31,Cristian Garin,U,CHI,106426.0,R,18,2610,260,28,58,53,0,7,0,6,0,43,21,45,22,76,54,61,34,30,18,33,19,30172.442598625108,185.0,01/06/1996,66.12817032549113,4.054615848123454,5.6,62.71
32,Taro Daniel,M,JPN,106121.0,R,64,834,317,23,55,26,0,8,0,0,0,62,33,73,42,62,33,66,31,34,19,43,25,35920.99034605362,176.29,31/01/1993,65.66639996307181,3.711724415793715,4.0,60.7
33,Ugo Humbert,M,FRA,200005.0,L,25,2270,202,17,62,35,0,4,0,2,0,2,-1,10,4,60,41,71,43,39,25,37,19,23676.724480849585,188.0,28/06/1998,73.18642639704282,3.7678819986991177,9.49,68.01
34,Christopher Eubanks,M,USA,111153.0,R,149,1809,186,4,53,0,0,5,0,0,0,9,5,13,5,59,32,56,27,22,14,31,16,16759.447468113747,186.52,08/05/1996,72.88961883887832,5.737156905365094,13.56,70.94
35,Marta Kostyuk,F,UKR,216146.0,R,56,1241,181,0,66,0,0,4,0,0,0,4,2,12,8,40,25,52,36,40,28,33,21,15811.878445443795,173.75,30/06/2002,33.214879579466825,3.6003493495235483,4.0,55.5
36,Viktorija Golubic,F,SUI,203530.0,R,45,1531,305,0,59,0,0,5,0,0,0,66,44,45,19,58,33,54,32,18,7,62,45,30978.42426208302,171.33,17/10/1992,42.59068026332775,3.48356525550311,0.88,53.75
37,Magdalena Frech,F,POL,211684.0,R,115,661,320,0,60,0,0,12,0,1,0,54,31,67,45,58,29,58,34,41,27,40,27,29726.0504913501,173.5,15/12/1997,25.08503100088574,1.4496757543673902,3.3,55.28
38,Kateryna Kozlova,F,UKR,203462.0,R,62,922,259,0,54,0,0,6,0,5,0,55,32,67,40,46,22,54,28,11,4,26,14,24406.99961126763,173.75,24/02/1994,43.907807825765126,2.6741898322337727,2.41,51.86
39,Lucie Hradecka,F,CZE,201556.0,R,53,1009,134,0,47,0,0,1,0,2,0,41,18,34,18,10,2,38,21,5,2,6,2,11913.302209939397,177.0,24/05/1985,39.12901933286587,4.200753959156192,6.98,55.9
40,Andrea Petkovic,F,GER,201492.0,R,21,2230,239,0,51,0,0,5,0,7,0,42,20,55,28,53,29,53,26,1,-1,35,19,23349.87984208625,180.0,09/09/1987,56.640652419955906,4.814881109173521,2.24,52.81
41,Anastasia Potapova,F,RUS,215713.0,R,64,1071,181,0,57,0,0,4,0,4,0,3,2,36,21,40,27,52,27,17,11,33,16,17132.466957980374,176.2,02/04/2001,43.646060268051656,4.923358941092435,3.29,55.42
42,Zoe Hives,F,AUS,211941.0,U,149,777,118,0,57,0,0,3,0,3,0,3,1,33,19,37,27,45,21,-1,-1,-1,-1,10383.967140022889,170.86,25/10/1996,8.850880448678296,0.6684087637159898,3.5,55.68
43,Karolina Muchova,F,CZE,214096.0,R,19,2876,216,0,64,0,0,4,0,9,0,54,36,35,20,33,22,51,37,15,7,28,18,20026.186132137467,178.0,23/08/1996,33.58428783837297,1.3936760713593175,5.51,59.71
44,Dayana Yastremska,F,UKR,215035.0,R,21,2070,211,0,60,0,0,3,0,2,0,21,11,34,19,61,42,58,36,29,17,8,3,19779.520194143886,175.0,18/05/2000,43.99404197698036,5.030401557735406,5.26,56.26
45,Mandy Minella,F,LUX,201605.0,R,67,849,239,0,53,0,0,9,0,5,0,59,33,35,16,66,44,56,27,6,2,17,7,20995.618105465528,180.0,22/11/1985,37.9742457210455,1.6984348365101505,3.6,54.62
46,Viktoriya Tomova,F,BUL,202600.0,R,104,775,326,0,56,0,0,8,0,4,0,78,59,65,36,52,24,64,32,27,17,40,17,29070.964553359183,180.0,28/02/1995,23.886189358297845,1.8018639223069886,1.5,50.8
47,Christina Mchale,F,USA,201539.0,R,40,1300,290,0,50,0,0,7,0,3,0,62,38,65,33,47,17,64,38,24,13,28,7,30451.741821393673,170.0,14/05/1992,56.75441407926741,4.761137085157514,3.04,55.29
48,Roberto Bautista Agut,M,ESP,105138.0,R,9,3215,265,71,64,67,0,11,0,4,0,74,51,70,48,53,33,65,42,28,20,46,26,38173.57675773914,183.0,17/04/1988,69.1381399260567,2.4327249771053583,4.21,62.56
49,Tomas Berdych,M,CZE,104607.0,R,6,4620,116,42,59,71,0,5,0,2,0,60,40,53,35,23,11,22,13,-1,-1,-1,-1,17210.60484517058,196.0,18/09/1985,76.59297071706963,3.1569242635450268,9.86,67.51
50,Novak Djokovic,M,SRB,104925.0,R,1,16950,213,126,81,91,0,10,0,3,1,75,66,41,33,65,53,69,58,46,41,43,38,39701.361275030155,188.0,24/05/1987,72.60136636915927,3.1402876200781664,6.84,66.63
51,Marco Cecchinato,M,ITA,106065.0,R,16,2091,310,25,56,36,0,5,0,1,0,49,24,78,48,72,42,47,19,42,25,47,26,33352.626132324105,185.0,01/10/1992,66.86599839527732,2.81925456961023,5.36,63.42
52,Nikoloz Basilashvili,M,GEO,105932.0,R,16,2020,277,40,51,47,0,5,0,7,0,66,35,66,32,68,38,52,28,18,4,47,26,31847.28429868909,185.0,27/02/1992,64.6087874646163,5.307979223725255,4.64,61.33
53,Stan Wawrinka,U,SUI,104527.0,R,3,6865,161,65,61,73,0,5,0,4,0,64,46,37,26,34,17,53,33,31,22,7,3,26216.0,183.0,31/03/1985,73.74149333770426,2.5342245318389516,9.25,69.44
54,Dusan Lajovic,M,SRB,105583.0,R,23,1895,269,45,50,44,0,2,0,5,0,59,28,70,37,70,41,50,22,30,14,35,14,32445.462392193214,180.0,02/07/1990,67.43345808731227,2.037502569582731,4.46,64.04
55,Pierre Hugues Herbert,M,FRA,105732.0,R,36,1168,239,36,57,41,0,7,0,0,0,49,32,52,25,65,39,50,25,31,18,28,13,29092.127188774335,188.0,21/03/1991,73.55707513529387,4.776340658933402,10.42,67.63
56,Marton Fucsovics,M,HUN,105916.0,R,31,1644,292,46,58,56,0,5,0,10,0,71,43,76,49,64,35,54,25,33,21,40,24,36743.595191224194,188.0,12/02/1992,67.19511418124719,3.9331523147280194,5.6,62.02
57,Andrey Rublev,M,RUS,126094.0,R,7,6120,332,48,63,66,0,11,0,0,0,70,38,76,45,45,21,81,54,51,41,57,43,38643.16808738479,188.0,21/10/1997,70.74821924423517,3.6910612535612537,7.98,65.32
58,Nicolas Jarry,M,CHI,111797.0,R,38,1165,270,17,59,23,0,5,0,1,0,61,35,71,46,55,31,52,23,6,1,42,29,28941.976259822455,185.7,11/10/1995,71.22071827596227,3.343446400276722,10.43,67.73
59,Guillermo Garcia Lopez,M,ESP,104198.0,R,27,1430,238,20,50,40,0,4,0,3,0,53,22,68,41,57,26,64,35,12,3,4,-1,27164.49249544482,188.0,05/06/1983,69.5469776776583,4.838866448369544,4.54,61.76
60,Ricardas Berankis,M,LTU,105575.0,R,50,909,247,32,60,37,0,6,0,5,0,59,34,42,23,62,35,66,44,18,10,32,16,26848.333187598717,175.0,23/06/1990,68.33349232203445,3.6952103531638,4.76,62.49
61,Guido Pella,M,ARG,105550.0,L,20,1735,219,46,53,45,0,6,0,3,0,40,16,67,42,59,33,62,36,17,7,20,5,30543.771438969932,185.0,20/05/1990,67.5384921069385,2.7119376434972553,6.08,65.08
62,Fernando Verdasco,M,ESP,104269.0,L,26,1545,209,41,49,53,0,4,0,1,0,55,29,54,29,61,33,53,26,14,6,13,3,27769.81646630101,188.0,14/11/1983,71.04592821304514,4.6889089269612265,7.59,64.4
63,Maximilian Marterer,M,GER,109739.0,L,45,1022,269,14,57,42,0,4,0,7,0,50,30,82,55,51,24,27,12,34,20,39,19,26104.614061913104,187.44,16/06/1995,68.80228173218431,2.3608019540160874,8.17,68.5
64,Paolo Lorenzi,M,ITA,103893.0,R,33,1223,297,32,49,43,0,1,0,1,0,76,47,66,30,59,30,82,42,23,8,23,5,39504.222768662235,183.0,15/12/1981,69.26495157970064,3.432391779248304,5.11,62.18
65,Marcos Baghdatis,M,CYP,104571.0,R,35,1210,133,23,53,43,0,4,0,9,0,49,26,39,19,41,19,27,17,-1,-1,-1,-1,15557.196612020074,183.0,19/06/1985,74.46275847136515,4.3729165818599585,9.96,63.06
66,Sergiy Stakhovsky,M,UKR,104660.0,R,60,780,324,18,52,44,0,7,0,6,0,65,36,75,43,69,33,76,38,23,10,34,18,34004.97046745462,193.0,13/01/1986,70.59320542158072,3.4334415584415585,10.17,63.53
67,Mirza Basic,M,BIH,105806.0,R,75,733,269,12,53,33,0,9,0,2,0,57,30,61,35,62,30,43,16,14,8,44,28,25738.402270720893,182.5,13/07/1991,67.6030120622659,2.6529403995407748,7.06,63.27
68,Marco Trungelliti,M,ARG,105477.0,R,112,517,260,12,56,41,0,4,0,7,0,61,36,45,23,69,44,41,21,22,7,34,20,27804.491973210075,184.62,04/02/1990,61.44370061457418,3.942938316929406,4.56,60.03
69,Kevin Anderson,M,RSA,104731.0,R,5,4810,171,52,60,63,0,6,0,6,0,40,19,55,34,67,48,15,11,20,10,26,14,26449.969981779286,203.0,21/05/1986,78.57508495023052,3.642458658382631,17.71,74.87
70,Ivo Karlovic,M,CRO,103333.0,R,18,1875,170,35,50,45,0,1,0,4,0,56,32,35,15,49,26,44,22,11,3,10,3,22352.35012749835,189.67,03/03/1979,82.04647135228748,5.417231923798528,23.79,85.74
71,Gilles Simon,M,FRA,104468.0,R,15,2235,223,47,47,53,0,0,0,5,0,59,33,41,16,62,35,56,28,31,15,21,4,31172.88571948497,183.0,27/12/1984,67.51053413759945,3.2726220094196434,4.5,61.22
72,Steve Darcis,M,BEL,104327.0,R,38,1016,145,24,65,45,0,3,0,8,0,55,42,56,33,-1,-1,54,29,4,2,-1,-1,16896.894936227494,178.0,17/03/1984,66.41427287695517,2.2688891467172008,5.19,63.09
73,Jaume Munar,M,ESP,144719.0,R,53,1022,267,16,56,25,0,8,0,6,0,12,5,41,21,71,39,69,37,41,24,49,30,31364.854693354173,183.0,08/05/1997,66.51478519620606,3.1609453189727987,4.24,60.3
74,Benoit Paire,M,FRA,105332.0,R,18,1773,281,44,48,52,0,10,0,8,0,59,26,68,35,62,32,75,42,23,10,38,13,32305.758360648855,196.0,11/05/1989,75.07008841923658,6.838757949869061,10.74,61.37
75,Malek Jaziri,M,TUN,104291.0,R,42,1042,279,25,47,36,0,2,0,9,0,69,38,60,28,72,40,41,12,29,12,33,11,31114.61792349166,185.0,26/01/1984,70.1635788791928,3.939109494006867,5.01,63.82
76,Ernests Gulbis,M,LAT,105208.0,R,59,836,185,26,44,50,0,2,0,7,0,31,14,27,11,54,32,38,8,33,20,28,11,21531.24699451512,190.0,31/08/1988,72.46577145866246,6.53402331104728,10.69,67.22
77,Laslo Djere,M,SRB,111513.0,R,27,1342,279,25,57,32,0,9,0,8,0,59,32,72,44,58,32,45,22,30,18,40,20,33380.9491803011,188.0,03/06/1995,65.76944305961115,4.703309536660154,5.26,59.65
78,Simone Bolelli,M,ITA,104620.0,R,58,790,119,13,58,38,0,3,0,2,0,10,2,45,28,54,32,23,13,-1,-1,-1,-1,13606.496842698714,183.0,09/10/1985,59.224426316098366,1.1805584554780697,3.01,66.11
79,Ilya Ivashka,M,BLR,125802.0,R,63,1038,308,20,60,55,0,5,0,5,0,54,35,48,25,75,45,59,30,41,28,51,35,33087.408633794956,193.0,28/02/1994,67.74870264660093,3.9760299995808315,8.43,62.35
80,Jiri Vesely,M,CZE,106210.0,L,42,1057,257,45,56,44,0,0,0,13,0,57,30,57,30,51,27,74,45,33,21,30,12,33576.86877958533,198.0,12/07/1993,72.79755516582466,4.717370186146259,10.86,66.69
81,Michael Mmoh,M,USA,111581.0,R,102,570,240,13,57,23,0,5,0,10,1,42,25,58,31,72,45,40,20,23,13,18,8,24823.1205585582,186.52,17/01/1998,65.85684090752602,4.7143725713077265,5.77,60.14
82,Ramkumar Ramanathan,M,IND,106368.0,R,111,495,312,9,47,55,0,3,0,0,0,45,17,69,37,68,31,68,32,26,8,45,27,30233.580182113838,183.8,08/11/1994,70.93712198842755,5.01706874930605,11.0,64.2
83,Evgeny Donskoy,M,RUS,105539.0,R,67,752,304,20,51,20,0,9,0,4,0,65,33,73,41,63,29,67,37,26,10,30,10,30700.108403116312,185.0,12/05/1990,71.31704853471736,3.0722729437095,6.87,66.42
84,Egor Gerasimov,M,BLR,106078.0,R,68,950,253,17,56,58,0,3,0,3,0,38,20,43,31,47,27,74,44,33,18,35,13,25956.962258622178,196.0,11/11/1992,69.89277185209008,4.0040678042921565,10.58,64.7
85,Saketh Myneni,M,IND,105031.0,R,137,907,126,3,57,33,0,4,0,4,0,49,30,12,6,31,21,33,14,4,2,-1,-1,11019.065306574515,183.8,19/10/1987,65.87885723106058,3.2876214364259297,10.42,66.67
86,Antoine Hoang,U,FRA,126156.0,R,98,575,210,9,54,55,0,3,0,1,0,10,7,5,2,64,37,64,35,35,19,41,19,23449.63100181274,173.36,03/11/1995,66.83818096600619,4.550235129064246,4.7,59.87
87,Thiago Monteiro,M,BRA,106329.0,L,74,954,351,24,56,33,0,6,0,5,0,79,51,66,30,73,37,79,49,45,27,33,14,40776.62714023419,183.0,02/06/1994,69.11334875693143,2.836956804810777,5.92,65.41
88,Sebastian Ofner,M,AUT,124116.0,R,127,486,257,5,49,60,0,7,0,6,0,12,7,56,31,56,25,64,31,32,15,42,21,23668.080315684874,185.2,15/05/1996,70.4650563469938,4.646086333377651,9.25,61.7
89,Gianluigi Quinzi,M,ITA,106420.0,L,142,445,160,0,53,0,0,3,0,5,0,34,17,36,21,51,31,39,16,-1,-1,-1,-1,15824.237777772592,185.71,05/02/1996,68.19498179335459,2.983400198341147,4.63,59.27
90,Felix Auger Aliassime,M,CAN,200000.0,R,15,2738,252,21,59,57,0,7,0,4,0,6,1,46,30,69,41,64,39,42,23,46,28,29215.48863386627,193.0,10/08/2000,71.88740442067439,5.34813603594018,9.89,65.62
91,Tennys Sandgren,M,USA,105815.0,R,41,1091,239,32,52,50,0,7,0,2,0,33,17,85,54,48,20,54,30,25,12,26,8,28228.118627768927,188.0,23/07/1991,70.55300986737008,3.034020233714465,9.97,65.86
92,Cameron Norrie,M,GBR,111815.0,L,28,1975,263,31,61,45,0,7,0,0,0,30,20,54,38,63,32,59,31,29,14,59,41,29506.32204006691,188.0,24/08/1995,68.85045280248022,4.449340532086085,6.1,64.49
93,Jan Lennard Struff,M,GER,105526.0,R,29,1545,302,44,55,47,0,7,0,0,0,81,51,74,41,54,27,65,35,30,15,42,20,34544.48477228772,193.0,28/04/1990,75.09432776876706,4.5200942512330995,11.61,63.87
94,Philipp Kohlschreiber,M,GER,104259.0,R,22,1655,209,40,57,40,0,5,0,8,0,55,32,53,32,48,24,55,29,21,11,17,8,25960.06925318396,178.0,16/10/1983,70.32287108412399,2.4196803310252335,6.54,66.76
95,Taylor Fritz,U,USA,126203.0,R,24,1900,298,40,58,50,0,4,0,0,0,64,35,65,39,73,45,69,40,31,15,36,20,33833.37527623043,193.0,29/10/1997,73.88760999332317,3.167173159212168,11.24,64.8
96,Pablo Carreno Busta,M,ESP,105807.0,R,10,3325,249,68,61,64,0,9,1,8,0,67,41,63,37,53,31,57,35,32,20,45,32,34238.00820883245,188.0,13/07/1991,67.65108737023264,2.158191763377999,5.12,65.85
97,Leonardo Mayer,M,ARG,104919.0,R,35,1235,210,25,50,44,0,1,0,5,0,54,30,51,31,47,22,48,23,17,5,18,7,26473.342404341245,188.0,17/05/1987,71.75693455091825,4.753767570046174,7.75,65.36
98,Fabio Fognini,M,ITA,104926.0,R,9,2920,226,61,56,62,0,4,0,3,1,49,26,59,36,70,47,54,31,15,5,40,21,31646.89879780605,178.0,26/05/1987,67.13056817141218,4.915071655314035,4.44,59.9
99,Joao Sousa,M,POR,105311.0,R,28,1355,241,45,43,46,0,3,0,1,0,60,26,61,29,59,31,62,29,17,4,27,8,30844.13657557864,185.0,03/04/1989,69.86343480825839,2.736156443076027,5.35,58.88
100,David Ferrer,M,ESP,103970.0,R,6,4325,121,30,54,56,0,6,0,3,0,59,36,46,25,32,14,14,8,-1,-1,-1,-1,16475.0,175.0,06/04/1982,67.36437566482518,4.6536970987610875,3.21,60.2
101,Jose Rubin Statham,M,NZL,104907.0,R,292,545,115,3,47,0,0,3,0,3,0,20,9,36,14,53,28,8,3,-1,1,-1,-1,11709.6029143813,183.0,27/04/1987,68.32674807833301,3.8889923635686343,6.76,59.45
102,Matteo Berrettini,M,ITA,126610.0,R,8,5533,225,45,65,68,0,2,0,1,0,11,5,56,38,72,44,73,48,15,9,43,34,29183.278943525114,196.0,15/04/1996,76.10591247062113,2.3566645741786987,11.14,70.68
103,Peter Gojowczyk,M,GER,105376.0,R,39,1175,269,16,53,25,0,3,0,9,0,56,30,69,45,50,25,56,21,13,5,41,22,25249.70460225059,185.0,17/07/1989,70.16505662361497,4.3948007318777345,9.61,61.69
104,Mackenzie McDonald,U,USA,111456.0,R,57,1060,253,23,56,47,0,2,0,2,0,32,18,58,31,63,35,34,18,31,15,58,38,27411.76950818066,173.18,18/04/1995,68.4876388019506,3.2394585102931,5.75,62.52
105,Pablo Cuevas,M,URU,104655.0,R,19,1865,242,36,57,44,0,3,0,1,0,57,34,46,25,47,25,67,41,29,12,32,18,29107.829544622087,180.0,01/01/1986,72.41330926799252,3.8457067045982978,7.44,64.14
106,Bradley Klahn,M,USA,105614.0,L,76,855,186,10,54,30,0,4,0,1,0,8,6,46,24,71,42,52,24,19,8,-1,-1,18804.921007838766,190.0,22/08/1990,69.8842421046631,4.762406401409485,9.67,68.65
107,Thomas Fabbiano,M,ITA,105341.0,R,70,701,273,24,51,45,0,4,0,0,0,70,37,75,45,61,34,52,21,8,3,31,11,30457.662513618874,185.71,29/05/1989,61.96945503811523,3.2776776261195533,2.48,61.03
108,Roberto Marcora,M,ITA,105406.0,R,150,852,247,0,52,0,0,3,0,5,0,16,7,21,10,64,42,68,36,42,24,36,11,23525.33696414638,185.71,01/09/1989,69.21571730161364,3.3196518078936887,6.06,64.29
109,Andreas Seppi,M,ITA,104312.0,R,29,1360,233,48,50,45,0,3,0,0,0,48,22,55,27,61,34,56,29,26,10,35,18,30076.94281722704,190.0,25/02/1984,71.98817369960737,3.276151571349807,7.39,63.31
110,Diego Schwartzman,U,ARG,106043.0,R,9,3765,263,67,57,65,0,4,0,3,0,58,34,67,39,58,33,68,42,41,25,38,23,36469.99613842144,170.0,18/08/1992,65.68443450691444,3.5895047689186366,2.8,59.14
111,Stefanos Tsitsipas,M,GRE,126774.0,R,3,8350,328,50,67,68,0,10,0,1,0,28,16,77,49,87,56,79,54,44,30,63,49,41028.71768057167,193.0,14/08/1998,72.0252932562592,2.749692252848796,8.81,66.84
112,Yoshihito Nishioka,M,JPN,106415.0,L,48,1177,255,32,60,40,0,2,0,13,0,79,52,24,14,64,40,55,30,29,16,36,15,28243.093394005955,170.0,27/09/1995,63.17577759836832,2.0958505036351016,2.34,61.46
113,Guido Andreozzi,M,ARG,105819.0,R,70,711,275,8,58,12,0,10,0,8,0,77,50,53,28,70,45,55,26,-1,-1,28,12,30137.931232491377,184.62,06/08/1991,63.755649720404065,4.221383123340202,3.72,61.11
114,Martin Klizan,M,SVK,105373.0,L,25,1428,219,18,55,27,0,1,0,10,0,36,19,38,17,75,55,36,13,29,14,23,9,24634.19081965224,190.0,13/07/1989,67.20485205602047,4.445913468814509,5.29,63.48
115,Sam Querrey,M,USA,105023.0,R,11,2595,181,51,54,56,0,5,0,2,0,52,28,57,36,47,24,43,26,9,3,24,10,23345.63100181274,198.0,07/10/1987,80.46338238800146,4.425870705564697,17.73,66.3
116,Reilly Opelka,M,USA,124187.0,R,23,2341,231,18,58,38,0,3,0,5,0,29,17,47,20,58,39,63,37,20,12,32,16,25692.801019986793,186.52,30/08/1997,74.23251261184791,3.7454868263891368,22.08,76.09
117,Camila Giorgi,F,ITA,202429.0,R,27,1978,246,0,57,0,0,3,0,8,0,49,24,42,26,59,39,30,13,30,17,36,23,23388.26485729395,168.0,29/12/1991,63.14988425185773,8.78574929366315,4.18,55.03
